,Color_PCA_KNN,Color_PCA_RandomForest,Color_PCA_SVM,Color_noPCA_KNN,Color_noPCA_RandomForest,Color_noPCA_SVM,HOG_PCA_KNN,HOG_PCA_RandomForest,HOG_PCA_SVM,HOG_noPCA_KNN,HOG_noPCA_RandomForest,HOG_noPCA_SVM,SIFT_PCA_KNN,SIFT_PCA_RandomForest,SIFT_PCA_SVM,SIFT_noPCA_KNN,SIFT_noPCA_RandomForest,SIFT_noPCA_SVM
munchlax,0.8333333333333334,1.0,0.0,0.8333333333333334,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.0
murkrow,0.125,0.375,0.0,0.125,0.5,0.0,0.5,0.625,0.625,0.5,0.625,0.625,0.5,0.375,0.375,0.5,0.5,0.0
naclstack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naganadel,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
necrozma,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.0
nihilego,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
ninetales,0.125,0.5,0.125,0.125,0.375,0.125,0.5,0.875,0.625,0.75,0.625,0.75,0.125,0.5,0.125,0.125,0.375,0.125
ninjask,0.5,1.0,0.0,0.625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.875,0.5,1.0,0.25
nuzleaf,0.75,0.875,0.25,0.75,1.0,0.375,0.875,1.0,1.0,0.875,1.0,1.0,0.875,0.875,0.75,0.875,0.875,0.5
nymble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obstagoon,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
oinkologne-male,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
omanyte,0.125,0.5,0.125,0.0,0.25,0.125,0.5,0.875,0.875,0.5,0.875,0.875,0.375,0.5,0.5,0.375,0.5,0.0
onix,0.375,0.625,0.125,0.375,0.75,0.0,0.625,0.875,0.875,0.625,0.875,0.875,0.5,0.75,0.625,0.5,0.75,0.0
oranguru,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
orbeetle,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0
overqwil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
palafin-zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
parasect,0.375,0.375,0.375,0.375,0.375,0.125,0.25,0.75,0.75,0.25,0.75,0.75,0.125,0.5,0.25,0.125,0.625,0.125
pawmo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pelipper,0.125,0.75,0.25,0.0,0.625,0.375,0.5,0.75,0.75,0.625,0.75,0.875,0.5,0.625,0.75,0.5,0.625,0.25
pineco,0.625,0.875,0.25,0.625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,0.75,0.625,0.125
pinsir,0.625,0.75,0.5,0.625,0.75,0.0,0.375,1.0,1.0,0.375,0.875,1.0,0.5,0.875,0.625,0.5,0.875,0.0
piplup,0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857
poipole,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,1.0,0.0
ponyta,0.25,0.75,0.375,0.25,0.75,0.0,0.5,0.875,0.875,0.5,0.75,0.875,0.375,0.625,0.375,0.5,0.5,0.0
primarina,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0
pupitar,0.125,0.75,0.25,0.125,0.875,0.125,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.625,0.25,0.5,0.625,0.0
purrloin,0.25,0.25,0.0,0.25,0.75,0.0,0.5,0.75,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.25,0.5,0.0
quagsire,0.25,0.75,0.25,0.25,1.0,0.125,0.125,1.0,0.75,0.125,1.0,0.75,0.25,0.625,0.375,0.25,0.625,0.0
quaxly,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
quilava,0.75,0.75,0.25,0.75,1.0,0.0,0.375,1.0,1.0,0.375,1.0,1.0,0.375,0.875,0.5,0.375,0.875,0.0
raikou,0.375,0.75,0.0,0.25,1.0,0.0,0.5,1.0,0.875,0.625,1.0,0.875,0.375,0.875,0.375,0.375,0.75,0.0
rayquaza,0.875,1.0,0.5,0.875,0.875,0.5,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.875,0.75,0.875,0.25
regice,0.75,0.875,0.375,0.875,0.875,0.375,0.625,0.875,0.875,0.875,0.875,0.875,0.25,0.25,0.25,0.25,0.25,0.0
regirock,0.75,0.875,0.375,0.75,0.875,0.25,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.5,0.75,0.75,0.875,0.25
reshiram,0.0,0.5,0.0,0.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.5,0.5,0.0
riolu,0.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.3333333333333333
roserade,0.75,1.0,0.25,0.75,1.0,0.75,0.875,1.0,1.0,0.875,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.25
sableye,0.375,0.375,0.0,0.375,0.25,0.0,0.5,0.875,0.875,0.625,0.875,0.875,0.125,0.375,0.625,0.125,0.25,0.25
sandile,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.0
sawk,0.25,0.75,0.0,0.5,0.75,0.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.5,0.5,0.0
scatterbug,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
scolipede,0.5,0.75,0.0,0.25,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.75,0.5,0.0,0.75,0.0
scorbunny,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
seadra,0.125,0.375,0.125,0.25,0.5,0.0,0.625,0.875,1.0,0.375,0.875,1.0,0.5,0.625,0.25,0.5,0.875,0.0
seel,0.375,0.875,0.375,0.375,1.0,0.0,0.25,0.625,0.5,0.25,0.625,0.5,0.25,0.5,0.125,0.25,0.375,0.125
servine,0.5,1.0,0.0,0.5,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.5,0.0
seviper,0.375,0.5,0.25,0.375,0.75,0.25,0.625,0.625,0.75,0.625,0.75,0.75,0.375,0.5,0.625,0.375,0.5,0.25
shellos,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.0
simipour,0.5,0.75,0.0,0.25,0.5,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.0
skiploom,0.5,0.875,0.125,0.25,1.0,0.0,0.375,0.875,0.75,0.25,0.875,0.875,0.125,0.75,0.625,0.125,0.75,0.0
slowpoke,0.0,0.5,0.0,0.0,0.625,0.0,0.125,0.75,0.625,0.125,0.75,0.5,0.0,0.25,0.0,0.0,0.5,0.0
smeargle,0.625,1.0,0.25,0.625,1.0,0.0,0.5,1.0,0.875,0.5,1.0,0.875,0.375,0.625,0.375,0.375,0.75,0.0
smoliv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoochum,0.25,0.625,0.0,0.25,0.75,0.0,0.625,1.0,0.75,0.625,1.0,0.75,0.375,0.375,0.25,0.375,0.375,0.0
sobble,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
spheal,0.375,0.875,0.125,0.625,1.0,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.125
spoink,0.5,0.875,0.0,0.375,0.875,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.125,0.875,0.875,0.125,0.875,0.125
sprigatito,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
spritzee,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.75,0.75,0.25,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0
staraptor,0.75,0.875,0.25,0.75,0.875,0.0,0.75,1.0,1.0,0.75,1.0,1.0,0.875,1.0,0.875,0.875,1.0,0.75
stufful,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
stunky,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333
swalot,0.875,1.0,0.875,0.875,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.75,0.875,0.625
swampert,0.25,0.625,0.125,0.375,0.625,0.125,0.375,0.75,1.0,0.375,0.75,1.0,0.375,0.5,0.5,0.375,0.375,0.25
swellow,0.375,0.625,0.0,0.375,0.75,0.25,0.625,0.875,0.875,0.625,0.875,0.875,0.25,0.625,0.625,0.25,0.625,0.5
swinub,0.375,0.75,0.0,0.375,0.75,0.0,0.625,1.0,1.0,0.625,0.875,1.0,0.625,0.875,0.75,0.75,0.75,0.375
swirlix,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.25
taillow,0.375,0.75,0.125,0.5,0.875,0.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.75,0.625,0.75,0.75,0.125
tandemaus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
tapu-fini,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0
teddiursa,0.125,0.875,0.375,0.125,1.0,0.125,0.625,1.0,1.0,0.625,1.0,1.0,0.125,0.875,0.125,0.25,0.875,0.0
thundurus-incarnate,0.25,0.75,0.0,0.25,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
tinkaton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
toedscruel,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
torchic,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.625,1.0,0.625
torkoal,0.625,0.625,0.375,0.625,0.875,0.125,0.375,1.0,1.0,0.375,1.0,1.0,0.25,0.75,0.75,0.25,1.0,0.375
torracat,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0
torterra,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,1.0,0.16666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0
toxapex,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
toxel,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
toxtricity-amped,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trevenant,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
tropius,0.75,0.875,0.625,0.75,1.0,0.375,0.625,0.875,0.875,0.375,0.875,0.875,0.25,0.75,0.5,0.25,0.75,0.125
type-null,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
ursaluna,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urshifu-single-strike,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0
varoom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vibrava,0.375,0.875,0.0,0.375,0.75,0.0,0.5,0.875,0.875,0.5,0.875,0.875,0.375,0.625,0.625,0.375,0.625,0.375
volbeat,0.875,0.875,0.375,0.75,0.875,0.0,0.75,0.875,0.875,0.625,1.0,0.875,0.5,0.75,0.75,0.5,0.875,0.125
volcanion,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
watchog,0.5,0.5,0.0,0.25,0.5,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.25,0.5,0.0
weepinbell,0.5,0.875,0.125,0.5,0.75,0.25,0.75,0.875,0.875,0.75,0.875,0.875,0.625,0.75,0.125,0.75,0.875,0.0
weezing,0.25,0.625,0.0,0.25,0.625,0.0,0.625,1.0,1.0,0.625,0.875,1.0,0.375,0.625,0.125,0.375,0.625,0.0
whirlipede,0.5,0.75,0.0,0.5,0.75,0.0,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.5,0.0
wigglytuff,0.125,0.125,0.125,0.125,0.5,0.125,0.25,0.625,0.625,0.25,0.75,0.625,0.25,0.25,0.375,0.25,0.25,0.125
wishiwashi-solo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
wormadam-plant,0.42857142857142855,0.8571428571428571,0.0,0.5714285714285714,1.0,0.0,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.2857142857142857
wynaut,0.625,0.75,0.25,0.625,0.875,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.375,0.625,0.5,0.375,0.875,0.125
wyrdeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
yanmega,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.5,0.8333333333333334,0.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.0
zangoose,0.25,0.5,0.125,0.25,0.375,0.125,0.25,0.875,0.875,0.25,0.625,0.875,0.125,0.5,0.375,0.125,0.5,0.375
zapdos,0.0,0.625,0.125,0.0,0.5,0.0,0.875,1.0,1.0,0.75,1.0,1.0,0.5,0.875,0.625,0.5,1.0,0.125
zarude,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0
zebstrika,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.75,0.75,0.25,0.75,0.75,0.25,0.25,0.5,0.25,0.5,0.5
zigzagoon,0.5,0.875,0.125,0.5,0.875,0.0,0.5,1.0,0.875,0.5,1.0,1.0,0.75,0.875,0.75,0.75,0.75,0.375
